Year,Team,Rank,Position,Players,Cap Dollars,% of Cap
2013,Arizona Cardinals,21,Offense,29,"$50,040,981 ",41.68%
2013,Arizona Cardinals,22,Defense,31,"$46,797,136 ",38.98%
2013,Arizona Cardinals,7,Defensive Line,9,"$21,893,294 ",18.24%
2013,Arizona Cardinals,17,Offensive Line,10,"$19,069,690 ",15.89%
2013,Arizona Cardinals,6,Defensive End,5,"$18,400,294 ",15.33%
2013,Arizona Cardinals,8,Wide Receiver,6,"$15,138,466 ",12.61%
2013,Arizona Cardinals,25,Secondary,12,"$12,966,833 ",10.80%
2013,Arizona Cardinals,24,Linebacker,10,"$11,937,009 ",9.94%
2013,Arizona Cardinals,5,Guard,3,"$10,600,273 ",8.83%
2013,Arizona Cardinals,16,Cornerback,7,"$10,122,018 ",8.43%
2013,Arizona Cardinals,13,Inside Linebacker,4,"$7,202,280 ",6.00%
2013,Arizona Cardinals,23,Quarterback,3,"$6,172,994 ",5.14%
2013,Arizona Cardinals,18,Running Back,5,"$5,306,754 ",4.42%
2013,Arizona Cardinals,23,Outside Linebacker,6,"$4,734,729 ",3.94%
2013,Arizona Cardinals,13,Center,2,"$4,390,000 ",3.66%
2013,Arizona Cardinals,21,Tight End,5,"$4,353,077 ",3.63%
2013,Arizona Cardinals,28,Tackle,5,"$4,079,417 ",3.40%
2013,Arizona Cardinals,21,Defensive Tackle,4,"$3,493,000 ",2.91%
2013,Arizona Cardinals,14,Right Tackle,3,"$3,104,561 ",2.59%
2013,Arizona Cardinals,30,Safety,5,"$2,844,815 ",2.37%
2013,Arizona Cardinals,12,Kicker,1,"$2,050,000 ",1.71%
2013,Arizona Cardinals,16,Free Safety,2,"$1,703,958 ",1.42%
2013,Arizona Cardinals,13,Punter,1,"$1,575,000 ",1.31%
2013,Arizona Cardinals,5,Long Snapper,1,"$1,091,666 ",0.91%
2013,Arizona Cardinals,30,Left Tackle,2,"$974,856 ",0.81%
2013,Arizona Cardinals,31,Strong Safety,1,"$408,366 ",0.34%
2013,Atlanta Falcons,11,Offense,32,"$57,342,033 ",46.92%
2013,Atlanta Falcons,25,Defense,28,"$43,369,609 ",35.49%
2013,Atlanta Falcons,3,Wide Receiver,6,"$17,406,641 ",14.24%
2013,Atlanta Falcons,17,Secondary,11,"$16,532,952 ",13.53%
2013,Atlanta Falcons,25,Offensive Line,12,"$16,278,946 ",13.32%
2013,Atlanta Falcons,16,Linebacker,9,"$15,546,530 ",12.72%
2013,Atlanta Falcons,10,Outside Linebacker,5,"$11,541,684 ",9.44%
2013,Atlanta Falcons,25,Defensive Line,8,"$11,290,127 ",9.24%
2013,Atlanta Falcons,16,Quarterback,2,"$9,899,474 ",8.10%
2013,Atlanta Falcons,19,Cornerback,6,"$9,276,181 ",7.59%
2013,Atlanta Falcons,8,Guard,4,"$9,228,823 ",7.55%
2013,Atlanta Falcons,9,Defensive Tackle,4,"$9,216,224 ",7.54%
2013,Atlanta Falcons,15,Safety,5,"$7,256,771 ",5.94%
2013,Atlanta Falcons,10,Tight End,5,"$6,937,146 ",5.68%
2013,Atlanta Falcons,16,Running Back,5,"$5,945,249 ",4.86%
2013,Atlanta Falcons,21,Tackle,7,"$5,712,266 ",4.67%
2013,Atlanta Falcons,9,Strong Safety,2,"$4,316,474 ",3.53%
2013,Atlanta Falcons,22,Inside Linebacker,4,"$4,004,846 ",3.28%
2013,Atlanta Falcons,19,Left Tackle,2,"$3,119,117 ",2.55%
2013,Atlanta Falcons,8,Kicker,1,"$2,962,500 ",2.42%
2013,Atlanta Falcons,18,Right Tackle,4,"$2,364,620 ",1.93%
2013,Atlanta Falcons,31,Defensive End,4,"$2,073,903 ",1.70%
2013,Atlanta Falcons,28,Center,2,"$1,566,386 ",1.28%
2013,Atlanta Falcons,15,Fullback,2,"$874,577 ",0.72%
2013,Atlanta Falcons,21,Punter,1,"$578,950 ",0.47%
2013,Atlanta Falcons,29,Long Snapper,1,"$480,833 ",0.39%
2013,Atlanta Falcons,30,Free Safety,1,"$23,823 ",0.02%
2013,Baltimore Ravens,6,Defense,31,"$59,859,476 ",46.82%
2013,Baltimore Ravens,26,Offense,26,"$46,729,028 ",36.55%
2013,Baltimore Ravens,3,Linebacker,12,"$23,913,572 ",18.70%
2013,Baltimore Ravens,9,Defensive Line,8,"$21,106,078 ",16.51%
2013,Baltimore Ravens,18,Offensive Line,9,"$18,919,033 ",14.80%
2013,Baltimore Ravens,3,Outside Linebacker,8,"$18,887,348 ",14.77%
2013,Baltimore Ravens,1,Defensive Tackle,5,"$18,721,750 ",14.64%
2013,Baltimore Ravens,22,Secondary,11,"$14,839,826 ",11.61%
2013,Baltimore Ravens,11,Tackle,5,"$9,627,502 ",7.53%
2013,Baltimore Ravens,22,Cornerback,4,"$8,301,405 ",6.49%
2013,Baltimore Ravens,11,Guard,2,"$8,210,425 ",6.42%
2013,Baltimore Ravens,26,Wide Receiver,7,"$8,096,045 ",6.33%
2013,Baltimore Ravens,8,Left Tackle,2,"$8,065,882 ",6.31%
2013,Baltimore Ravens,21,Quarterback,2,"$7,381,327 ",5.77%
2013,Baltimore Ravens,18,Safety,7,"$6,538,421 ",5.11%
2013,Baltimore Ravens,14,Running Back,3,"$6,466,477 ",5.06%
2013,Baltimore Ravens,17,Inside Linebacker,4,"$5,026,224 ",3.93%
2013,Baltimore Ravens,23,Tight End,3,"$3,966,000 ",3.10%
2013,Baltimore Ravens,13,Strong Safety,4,"$3,154,304 ",2.47%
2013,Baltimore Ravens,12,Free Safety,2,"$3,130,000 ",2.45%
2013,Baltimore Ravens,6,Punter,1,"$2,500,000 ",1.96%
2013,Baltimore Ravens,29,Defensive End,3,"$2,384,328 ",1.86%
2013,Baltimore Ravens,7,Fullback,2,"$1,900,146 ",1.49%
2013,Baltimore Ravens,21,Right Tackle,3,"$1,561,620 ",1.22%
2013,Baltimore Ravens,29,Center,2,"$1,081,106 ",0.85%
2013,Baltimore Ravens,17,Long Snapper,1,"$755,000 ",0.59%
2013,Baltimore Ravens,28,Kicker,1,"$480,000 ",0.38%
2013,Buffalo Bills,15,Defense,23,"$52,636,339 ",45.71%
2013,Buffalo Bills,29,Offense,33,"$41,681,058 ",36.20%
2013,Buffalo Bills,4,Defensive Line,7,"$29,011,039 ",25.19%
2013,Buffalo Bills,16,Secondary,10,"$17,342,171 ",15.06%
2013,Buffalo Bills,2,Defensive Tackle,6,"$16,611,039 ",14.43%
2013,Buffalo Bills,27,Offensive Line,10,"$14,455,361 ",12.55%
2013,Buffalo Bills,10,Defensive End,1,"$12,400,000 ",10.77%
2013,Buffalo Bills,7,Safety,6,"$10,558,303 ",9.17%
2013,Buffalo Bills,22,Wide Receiver,8,"$8,979,223 ",7.80%
2013,Buffalo Bills,4,Free Safety,3,"$7,893,063 ",6.85%
2013,Buffalo Bills,11,Running Back,3,"$7,656,985 ",6.65%
2013,Buffalo Bills,24,Cornerback,4,"$6,783,868 ",5.89%
2013,Buffalo Bills,32,Linebacker,6,"$6,283,129 ",5.46%
2013,Buffalo Bills,7,Center,2,"$5,948,750 ",5.17%
2013,Buffalo Bills,22,Tackle,5,"$5,227,788 ",4.54%
2013,Buffalo Bills,21,Outside Linebacker,4,"$5,215,356 ",4.53%
2013,Buffalo Bills,15,Tight End,6,"$4,969,668 ",4.32%
2013,Buffalo Bills,26,Quarterback,4,"$4,913,939 ",4.27%
2013,Buffalo Bills,12,Right Tackle,2,"$3,430,000 ",2.98%
2013,Buffalo Bills,31,Guard,3,"$3,278,823 ",2.85%
2013,Buffalo Bills,17,Strong Safety,2,"$2,110,240 ",1.83%
2013,Buffalo Bills,28,Left Tackle,3,"$1,797,788 ",1.56%
2013,Buffalo Bills,32,Inside Linebacker,2,"$1,067,773 ",0.93%
2013,Buffalo Bills,6,Long Snapper,1,"$1,061,667 ",0.92%
2013,Buffalo Bills,18,Kicker,2,"$905,412 ",0.79%
2013,Buffalo Bills,19,Fullback,2,"$705,882 ",0.61%
2013,Buffalo Bills,30,Punter,1,"$391,765 ",0.34%
2013,Carolina Panthers,19,Offense,35,"$50,901,340 ",45.97%
2013,Carolina Panthers,29,Defense,28,"$38,946,213 ",35.17%
2013,Carolina Panthers,14,Defensive Line,10,"$16,725,994 ",15.10%
2013,Carolina Panthers,26,Offensive Line,14,"$15,885,123 ",14.35%
2013,Carolina Panthers,22,Linebacker,7,"$12,335,910 ",11.14%
2013,Carolina Panthers,13,Wide Receiver,9,"$11,861,313 ",10.71%
2013,Carolina Panthers,11,Defensive End,5,"$11,629,842 ",10.50%
2013,Carolina Panthers,31,Secondary,11,"$9,884,309 ",8.93%
2013,Carolina Panthers,17,Outside Linebacker,4,"$8,795,783 ",7.94%
2013,Carolina Panthers,10,Running Back,3,"$8,446,450 ",7.63%
2013,Carolina Panthers,20,Quarterback,3,"$7,514,454 ",6.79%
2013,Carolina Panthers,3,Center,3,"$7,240,882 ",6.54%
2013,Carolina Panthers,20,Safety,5,"$6,232,353 ",5.63%
2013,Carolina Panthers,17,Defensive Tackle,5,"$5,096,152 ",4.60%
2013,Carolina Panthers,24,Guard,7,"$5,074,574 ",4.58%
2013,Carolina Panthers,16,Tight End,4,"$4,880,000 ",4.41%
2013,Carolina Panthers,10,Strong Safety,2,"$4,057,353 ",3.66%
2013,Carolina Panthers,30,Cornerback,6,"$3,651,956 ",3.30%
2013,Carolina Panthers,30,Tackle,4,"$3,569,667 ",3.22%
2013,Carolina Panthers,25,Inside Linebacker,3,"$3,540,127 ",3.20%
2013,Carolina Panthers,23,Left Tackle,2,"$2,380,000 ",2.15%
2013,Carolina Panthers,6,Fullback,2,"$2,314,000 ",2.09%
2013,Carolina Panthers,18,Free Safety,2,"$1,555,000 ",1.40%
2013,Carolina Panthers,25,Right Tackle,2,"$1,189,667 ",1.07%
2013,Carolina Panthers,13,Long Snapper,1,"$865,000 ",0.78%
2013,Carolina Panthers,19,Kicker,1,"$715,000 ",0.65%
2013,Carolina Panthers,23,Punter,1,"$499,670 ",0.45%
2013,Chicago Bears,3,Defense,29,"$61,110,414 ",48.30%
2013,Chicago Bears,18,Offense,27,"$52,972,504 ",41.87%
2013,Chicago Bears,1,Linebacker,10,"$29,141,293 ",23.03%
2013,Chicago Bears,2,Outside Linebacker,7,"$25,218,614 ",19.93%
2013,Chicago Bears,14,Secondary,11,"$18,891,371 ",14.93%
2013,Chicago Bears,6,Wide Receiver,7,"$16,580,065 ",13.10%
2013,Chicago Bears,6,Cornerback,6,"$15,198,529 ",12.01%
2013,Chicago Bears,21,Defensive Line,8,"$13,077,750 ",10.34%
2013,Chicago Bears,8,Defensive Tackle,5,"$11,443,910 ",9.04%
2013,Chicago Bears,14,Quarterback,3,"$11,276,471 ",8.91%
2013,Chicago Bears,4,Running Back,3,"$11,224,916 ",8.87%
2013,Chicago Bears,31,Offensive Line,11,"$10,551,052 ",8.34%
2013,Chicago Bears,18,Guard,5,"$6,224,264 ",4.92%
2013,Chicago Bears,24,Inside Linebacker,3,"$3,922,679 ",3.10%
2013,Chicago Bears,26,Safety,5,"$3,692,842 ",2.92%
2013,Chicago Bears,3,Kicker,1,"$3,525,000 ",2.79%
2013,Chicago Bears,28,Tight End,2,"$2,560,000 ",2.02%
2013,Chicago Bears,31,Tackle,5,"$2,201,788 ",1.74%
2013,Chicago Bears,24,Center,1,"$2,125,000 ",1.68%
2013,Chicago Bears,19,Strong Safety,2,"$2,047,825 ",1.62%
2013,Chicago Bears,11,Punter,1,"$1,725,000 ",1.36%
2013,Chicago Bears,32,Defensive End,3,"$1,633,840 ",1.29%
2013,Chicago Bears,23,Right Tackle,3,"$1,481,200 ",1.17%
2013,Chicago Bears,10,Long Snapper,1,"$1,040,000 ",0.82%
2013,Chicago Bears,17,Fullback,1,"$780,000 ",0.62%
2013,Chicago Bears,31,Left Tackle,2,"$720,588 ",0.57%
2013,Chicago Bears,22,Free Safety,1,"$698,400 ",0.55%
2013,Cincinnati Bengals,1,Defense,32,"$68,628,349 ",54.01%
2013,Cincinnati Bengals,28,Offense,28,"$43,988,121 ",34.62%
2013,Cincinnati Bengals,1,Defensive Line,12,"$39,328,918 ",30.95%
2013,Cincinnati Bengals,3,Defensive End,5,"$24,549,473 ",19.32%
2013,Cincinnati Bengals,9,Secondary,11,"$21,952,362 ",17.28%
2013,Cincinnati Bengals,11,Offensive Line,10,"$21,288,147 ",16.75%
2013,Cincinnati Bengals,4,Cornerback,6,"$15,661,242 ",12.33%
2013,Cincinnati Bengals,3,Defensive Tackle,7,"$14,779,445 ",11.63%
2013,Cincinnati Bengals,6,Tackle,4,"$14,005,588 ",11.02%
2013,Cincinnati Bengals,21,Wide Receiver,7,"$9,183,272 ",7.23%
2013,Cincinnati Bengals,7,Left Tackle,2,"$8,875,000 ",6.98%
2013,Cincinnati Bengals,29,Linebacker,10,"$7,989,422 ",6.29%
2013,Cincinnati Bengals,19,Safety,5,"$6,291,120 ",4.95%
2013,Cincinnati Bengals,17,Running Back,4,"$5,750,703 ",4.53%
2013,Cincinnati Bengals,8,Right Tackle,2,"$5,130,588 ",4.04%
2013,Cincinnati Bengals,6,Free Safety,2,"$4,668,986 ",3.67%
2013,Cincinnati Bengals,19,Tight End,3,"$4,417,841 ",3.48%
2013,Cincinnati Bengals,21,Inside Linebacker,4,"$4,060,325 ",3.20%
2013,Cincinnati Bengals,17,Center,2,"$3,822,000 ",3.01%
2013,Cincinnati Bengals,29,Guard,4,"$3,460,559 ",2.72%
2013,Cincinnati Bengals,30,Outside Linebacker,5,"$3,286,744 ",2.59%
2013,Cincinnati Bengals,28,Quarterback,3,"$2,760,833 ",2.17%
2013,Cincinnati Bengals,5,Punter,2,"$2,720,000 ",2.14%
2013,Cincinnati Bengals,14,Kicker,1,"$1,600,000 ",1.26%
2013,Cincinnati Bengals,1,Long Snapper,1,"$1,340,000 ",1.05%
2013,Cincinnati Bengals,23,Strong Safety,2,"$1,165,075 ",0.92%
2013,Cincinnati Bengals,20,Fullback,1,"$587,325 ",0.46%
2013,Cleveland Browns,11,Defense,28,"$55,323,993 ",44.53%
2013,Cleveland Browns,31,Offense,31,"$37,854,916 ",30.47%
2013,Cleveland Browns,7,Offensive Line,11,"$23,789,033 ",19.15%
2013,Cleveland Browns,8,Defensive Line,9,"$21,203,852 ",17.07%
2013,Cleveland Browns,9,Linebacker,9,"$20,792,892 ",16.74%
2013,Cleveland Browns,7,Tackle,6,"$13,754,935 ",11.07%
2013,Cleveland Browns,24,Secondary,10,"$13,327,249 ",10.73%
2013,Cleveland Browns,9,Defensive End,7,"$13,148,852 ",10.58%
2013,Cleveland Browns,7,Outside Linebacker,4,"$12,888,656 ",10.37%
2013,Cleveland Browns,4,Left Tackle,3,"$11,960,333 ",9.63%
2013,Cleveland Browns,15,Cornerback,5,"$10,840,569 ",8.73%
2013,Cleveland Browns,11,Defensive Tackle,2,"$8,055,000 ",6.48%
2013,Cleveland Browns,10,Inside Linebacker,5,"$7,904,236 ",6.36%
2013,Cleveland Browns,30,Wide Receiver,7,"$5,723,178 ",4.61%
2013,Cleveland Browns,21,Guard,5,"$5,407,098 ",4.35%
2013,Cleveland Browns,10,Center,1,"$5,032,000 ",4.05%
2013,Cleveland Browns,27,Quarterback,4,"$4,171,298 ",3.36%
2013,Cleveland Browns,32,Safety,5,"$2,486,680 ",2.00%
2013,Cleveland Browns,31,Running Back,5,"$2,200,880 ",1.77%
2013,Cleveland Browns,31,Tight End,4,"$1,970,527 ",1.59%
2013,Cleveland Browns,20,Strong Safety,2,"$1,529,710 ",1.23%
2013,Cleveland Browns,24,Right Tackle,2,"$1,389,602 ",1.12%
2013,Cleveland Browns,7,Long Snapper,1,"$1,055,000 ",0.85%
2013,Cleveland Browns,17,Kicker,2,"$961,666 ",0.77%
2013,Cleveland Browns,21,Free Safety,2,"$718,735 ",0.58%
2013,Cleveland Browns,29,Punter,1,"$405,000 ",0.33%
2013,Dallas Cowboys,19,Defense,33,"$49,058,957 ",41.88%
2013,Dallas Cowboys,23,Offense,27,"$48,693,314 ",41.56%
2013,Dallas Cowboys,2,Linebacker,14,"$27,662,497 ",23.61%
2013,Dallas Cowboys,1,Outside Linebacker,11,"$25,332,045 ",21.62%
2013,Dallas Cowboys,15,Offensive Line,11,"$19,470,710 ",16.62%
2013,Dallas Cowboys,20,Secondary,12,"$16,274,195 ",13.89%
2013,Dallas Cowboys,9,Quarterback,3,"$13,818,980 ",11.80%
2013,Dallas Cowboys,12,Cornerback,6,"$12,647,631 ",10.80%
2013,Dallas Cowboys,9,Tackle,4,"$11,764,448 ",10.04%
2013,Dallas Cowboys,2,Right Tackle,3,"$8,356,421 ",7.13%
2013,Dallas Cowboys,27,Wide Receiver,5,"$7,392,268 ",6.31%
2013,Dallas Cowboys,13,Tight End,3,"$5,623,757 ",4.80%
2013,Dallas Cowboys,8,Center,4,"$5,513,262 ",4.71%
2013,Dallas Cowboys,32,Defensive Line,7,"$5,122,265 ",4.37%
2013,Dallas Cowboys,27,Safety,6,"$3,626,564 ",3.10%
2013,Dallas Cowboys,18,Left Tackle,1,"$3,408,027 ",2.91%
2013,Dallas Cowboys,25,Defensive End,3,"$3,295,294 ",2.81%
2013,Dallas Cowboys,28,Inside Linebacker,3,"$2,330,452 ",1.99%
2013,Dallas Cowboys,30,Running Back,4,"$2,257,011 ",1.93%
2013,Dallas Cowboys,32,Guard,3,"$2,193,000 ",1.87%
2013,Dallas Cowboys,18,Strong Safety,2,"$2,053,000 ",1.75%
2013,Dallas Cowboys,30,Defensive Tackle,4,"$1,826,971 ",1.56%
2013,Dallas Cowboys,12,Long Snapper,1,"$985,000 ",0.84%
2013,Dallas Cowboys,20,Free Safety,2,"$957,183 ",0.82%
2013,Dallas Cowboys,25,Kicker,1,"$555,833 ",0.47%
2013,Dallas Cowboys,22,Punter,1,"$555,000 ",0.47%
2013,Dallas Cowboys,28,Fullback,1,"$130,588 ",0.11%
2013,Denver Broncos,4,Offense,26,"$66,442,959 ",49.95%
2013,Denver Broncos,21,Defense,32,"$48,410,205 ",36.39%
2013,Denver Broncos,5,Offensive Line,11,"$25,448,424 ",19.13%
2013,Denver Broncos,7,Secondary,13,"$23,417,570 ",17.60%
2013,Denver Broncos,3,Quarterback,3,"$18,716,294 ",14.07%
2013,Denver Broncos,5,Cornerback,5,"$15,460,618 ",11.62%
2013,Denver Broncos,4,Tackle,4,"$15,139,842 ",11.38%
2013,Denver Broncos,2,Left Tackle,2,"$13,591,176 ",10.22%
2013,Denver Broncos,20,Linebacker,9,"$12,951,884 ",9.74%
2013,Denver Broncos,24,Defensive Line,10,"$12,040,751 ",9.05%
2013,Denver Broncos,20,Wide Receiver,4,"$9,248,787 ",6.95%
2013,Denver Broncos,9,Guard,5,"$8,738,582 ",6.57%
2013,Denver Broncos,6,Tight End,4,"$8,013,902 ",6.02%
2013,Denver Broncos,12,Safety,8,"$7,956,952 ",5.98%
2013,Denver Broncos,11,Inside Linebacker,7,"$7,737,003 ",5.82%
2013,Denver Broncos,15,Defensive Tackle,6,"$6,880,138 ",5.17%
2013,Denver Broncos,22,Outside Linebacker,2,"$5,214,881 ",3.92%
2013,Denver Broncos,21,Defensive End,4,"$5,160,613 ",3.88%
2013,Denver Broncos,20,Running Back,4,"$5,015,552 ",3.77%
2013,Denver Broncos,11,Strong Safety,3,"$3,680,000 ",2.77%
2013,Denver Broncos,6,Kicker,1,"$3,312,500 ",2.49%
2013,Denver Broncos,7,Punter,1,"$2,000,000 ",1.50%
2013,Denver Broncos,15,Free Safety,2,"$1,811,732 ",1.36%
2013,Denver Broncos,27,Center,2,"$1,570,000 ",1.18%
2013,Denver Broncos,22,Right Tackle,2,"$1,548,666 ",1.16%
2013,Denver Broncos,28,Long Snapper,1,"$481,333 ",0.36%
2013,Denver Broncos,1,Kick Returner,1,"$480,000 ",0.36%
2013,Detroit Lions,10,Offense,30,"$59,488,950 ",49.61%
2013,Detroit Lions,24,Defense,29,"$43,842,063 ",36.56%
2013,Detroit Lions,2,Quarterback,3,"$21,556,666 ",17.98%
2013,Detroit Lions,10,Defensive Line,8,"$20,985,856 ",17.50%
2013,Detroit Lions,9,Wide Receiver,7,"$15,085,668 ",12.58%
2013,Detroit Lions,6,Defensive Tackle,4,"$14,671,559 ",12.23%
2013,Detroit Lions,29,Offensive Line,10,"$13,471,450 ",11.23%
2013,Detroit Lions,23,Linebacker,9,"$11,979,067 ",9.99%
2013,Detroit Lions,29,Secondary,12,"$10,877,140 ",9.07%
2013,Detroit Lions,20,Outside Linebacker,7,"$6,684,274 ",5.57%
2013,Detroit Lions,17,Defensive End,4,"$6,314,297 ",5.27%
2013,Detroit Lions,21,Safety,6,"$5,805,980 ",4.84%
2013,Detroit Lions,16,Inside Linebacker,2,"$5,294,793 ",4.42%
2013,Detroit Lions,27,Cornerback,6,"$5,071,160 ",4.23%
2013,Detroit Lions,26,Guard,4,"$4,743,367 ",3.96%
2013,Detroit Lions,24,Tackle,4,"$4,528,083 ",3.78%
2013,Detroit Lions,20,Tight End,5,"$4,403,158 ",3.67%
2013,Detroit Lions,16,Center,2,"$4,200,000 ",3.50%
2013,Detroit Lions,24,Running Back,4,"$3,997,008 ",3.33%
2013,Detroit Lions,10,Free Safety,2,"$3,265,000 ",2.72%
2013,Detroit Lions,17,Right Tackle,3,"$2,711,333 ",2.26%
2013,Detroit Lions,27,Left Tackle,1,"$1,816,750 ",1.51%
2013,Detroit Lions,26,Strong Safety,1,"$1,030,000 ",0.86%
2013,Detroit Lions,13,Fullback,1,"$975,000 ",0.81%
2013,Detroit Lions,21,Kicker,1,"$620,000 ",0.52%
2013,Detroit Lions,22,Long Snapper,1,"$620,000 ",0.52%
2013,Detroit Lions,26,Punter,1,"$445,075 ",0.37%
2013,Green Bay Packers,12,Offense,34,"$56,926,418 ",47.04%
2013,Green Bay Packers,9,Defense,31,"$56,678,955 ",46.83%
2013,Green Bay Packers,7,Linebacker,12,"$21,091,816 ",17.43%
2013,Green Bay Packers,13,Secondary,12,"$19,040,944 ",15.73%
2013,Green Bay Packers,23,Offensive Line,11,"$17,540,972 ",14.49%
2013,Green Bay Packers,15,Defensive Line,7,"$16,546,195 ",13.67%
2013,Green Bay Packers,7,Cornerback,7,"$13,957,142 ",11.53%
2013,Green Bay Packers,7,Defensive Tackle,3,"$13,736,140 ",11.35%
2013,Green Bay Packers,12,Quarterback,4,"$12,663,000 ",10.46%
2013,Green Bay Packers,2,Tight End,5,"$11,484,635 ",9.49%
2013,Green Bay Packers,3,Inside Linebacker,6,"$11,338,642 ",9.37%
2013,Green Bay Packers,18,Wide Receiver,8,"$10,173,979 ",8.41%
2013,Green Bay Packers,14,Outside Linebacker,6,"$9,753,174 ",8.06%
2013,Green Bay Packers,7,Guard,4,"$9,422,804 ",7.79%
2013,Green Bay Packers,20,Tackle,5,"$6,286,191 ",5.19%
2013,Green Bay Packers,5,Right Tackle,4,"$5,767,341 ",4.77%
2013,Green Bay Packers,24,Safety,5,"$5,083,802 ",4.20%
2013,Green Bay Packers,6,Strong Safety,4,"$4,527,969 ",3.74%
2013,Green Bay Packers,27,Defensive End,4,"$2,810,055 ",2.32%
2013,Green Bay Packers,4,Fullback,1,"$2,600,000 ",2.15%
2013,Green Bay Packers,28,Running Back,5,"$2,463,832 ",2.04%
2013,Green Bay Packers,10,Kicker,1,"$2,350,000 ",1.94%
2013,Green Bay Packers,26,Center,2,"$1,831,977 ",1.51%
2013,Green Bay Packers,17,Punter,1,"$1,105,000 ",0.91%
2013,Green Bay Packers,14,Long Snapper,1,"$821,250 ",0.68%
2013,Green Bay Packers,32,Left Tackle,1,"$518,850 ",0.43%
2013,Houston Texans,5,Offense,35,"$63,901,657 ",51.61%
2013,Houston Texans,18,Defense,31,"$50,552,098 ",40.82%
2013,Houston Texans,4,Secondary,12,"$23,993,028 ",19.38%
2013,Houston Texans,19,Offensive Line,12,"$18,690,873 ",15.09%
2013,Houston Texans,3,Cornerback,7,"$16,731,481 ",13.51%
2013,Houston Texans,7,Wide Receiver,7,"$15,620,004 ",12.61%
2013,Houston Texans,16,Defensive Line,8,"$15,410,557 ",12.45%
2013,Houston Texans,8,Defensive End,6,"$14,028,432 ",11.33%
2013,Houston Texans,13,Quarterback,3,"$11,756,250 ",9.49%
2013,Houston Texans,25,Linebacker,11,"$11,148,513 ",9.00%
2013,Houston Texans,6,Running Back,7,"$9,801,307 ",7.92%
2013,Houston Texans,14,Safety,5,"$7,261,547 ",5.86%
2013,Houston Texans,14,Inside Linebacker,6,"$7,084,489 ",5.72%
2013,Houston Texans,8,Tight End,5,"$7,033,223 ",5.68%
2013,Houston Texans,18,Tackle,5,"$6,937,035 ",5.60%
2013,Houston Texans,4,Center,3,"$6,580,362 ",5.31%
2013,Houston Texans,12,Left Tackle,3,"$5,943,246 ",4.80%
2013,Houston Texans,22,Guard,4,"$5,173,476 ",4.18%
2013,Houston Texans,28,Outside Linebacker,5,"$4,064,024 ",3.28%
2013,Houston Texans,32,Defensive Tackle,2,"$1,382,125 ",1.12%
2013,Houston Texans,16,Punter,1,"$1,333,333 ",1.08%
2013,Houston Texans,22,Strong Safety,2,"$1,189,782 ",0.96%
2013,Houston Texans,10,Fullback,1,"$1,000,000 ",0.81%
2013,Houston Texans,26,Right Tackle,2,"$993,789 ",0.80%
2013,Houston Texans,20,Long Snapper,1,"$693,750 ",0.56%
2013,Houston Texans,30,Kicker,1,"$449,527 ",0.36%
2013,Houston Texans,29,Free Safety,1,"$405,000 ",0.33%
2013,Indianapolis Colts,10,Defense,33,"$56,058,104 ",43.44%
2013,Indianapolis Colts,15,Offense,32,"$54,480,280 ",42.22%
2013,Indianapolis Colts,8,Offensive Line,11,"$23,101,450 ",17.90%
2013,Indianapolis Colts,8,Secondary,11,"$22,364,641 ",17.33%
2013,Indianapolis Colts,8,Linebacker,14,"$20,856,072 ",16.16%
2013,Indianapolis Colts,5,Outside Linebacker,7,"$16,884,237 ",13.08%
2013,Indianapolis Colts,22,Defensive Line,8,"$12,837,391 ",9.95%
2013,Indianapolis Colts,3,Safety,5,"$12,768,235 ",9.89%
2013,Indianapolis Colts,12,Wide Receiver,7,"$12,534,675 ",9.71%
2013,Indianapolis Colts,8,Tackle,5,"$12,303,411 ",9.53%
2013,Indianapolis Colts,13,Defensive End,4,"$10,715,278 ",8.30%
2013,Indianapolis Colts,1,Right Tackle,3,"$10,026,000 ",7.77%
2013,Indianapolis Colts,18,Cornerback,6,"$9,596,406 ",7.44%
2013,Indianapolis Colts,18,Quarterback,2,"$8,524,545 ",6.61%
2013,Indianapolis Colts,12,Running Back,7,"$7,079,420 ",5.49%
2013,Indianapolis Colts,16,Guard,4,"$6,421,345 ",4.98%
2013,Indianapolis Colts,3,Strong Safety,1,"$5,750,000 ",4.46%
2013,Indianapolis Colts,14,Center,2,"$4,376,694 ",3.39%
2013,Indianapolis Colts,23,Inside Linebacker,7,"$3,971,835 ",3.08%
2013,Indianapolis Colts,4,Kicker,1,"$3,400,000 ",2.63%
2013,Indianapolis Colts,4,Punter,1,"$2,977,000 ",2.31%
2013,Indianapolis Colts,30,Tight End,3,"$2,321,837 ",1.80%
2013,Indianapolis Colts,24,Left Tackle,2,"$2,277,411 ",1.76%
2013,Indianapolis Colts,29,Defensive Tackle,4,"$2,122,113 ",1.64%
2013,Indianapolis Colts,14,Fullback,2,"$918,353 ",0.71%
2013,Indianapolis Colts,23,Free Safety,1,"$630,000 ",0.49%
2013,Indianapolis Colts,30,Long Snapper,1,"$480,000 ",0.37%
2013,Jacksonville Jaguars,27,Offense,34,"$46,096,797 ",38.27%
2013,Jacksonville Jaguars,31,Defense,30,"$33,567,214 ",27.86%
2013,Jacksonville Jaguars,28,Offensive Line,11,"$14,340,197 ",11.90%
